,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,persentase_penduduk,jumlah_ibu_hamil,jumlah_bayi
0,2016,JAWA BARAT,3201,KABUPATEN BOGOR,77.92,30.28,126474.0,98.0
1,2016,JAWA BARAT,3202,KABUPATEN SUKABUMI,77.14,27.57,51056.0,186.0
2,2016,JAWA BARAT,3203,KABUPATEN CIANJUR,75.98,27.75,46284.0,323.0
3,2016,JAWA BARAT,3204,KABUPATEN BANDUNG,81.69,25.73,79912.0,66.0
4,2016,JAWA BARAT,3205,KABUPATEN GARUT,78.09,29.14,62514.0,143.0
5,2016,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,74.68,25.54,33470.0,63.0
6,2016,JAWA BARAT,3207,KABUPATEN CIAMIS,78.31,30.34,20383.0,120.0
7,2016,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.17,29.55,20156.0,49.0
8,2016,JAWA BARAT,3209,KABUPATEN CIREBON,79.12,35.06,53689.0,182.0
9,2016,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.72,33.68,21778.0,18.0
10,2016,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.94,30.78,20684.0,44.0
11,2016,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78.03,24.84,43102.0,26.0
12,2016,JAWA BARAT,3213,KABUPATEN SUBANG,79.4,26.86,35351.0,53.0
13,2016,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.45,37.05,19976.0,100.0
14,2016,JAWA BARAT,3215,KABUPATEN KARAWANG,79.38,27.39,46520.0,281.0
15,2016,JAWA BARAT,3216,KABUPATEN BEKASI,81.91,26.24,73617.0,299.0
16,2016,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.72,24.37,32807.0,37.0
17,2016,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77.54,33.22,6720.0,88.0
18,2016,JAWA BARAT,3271,KOTA BOGOR,81.46,25.97,21324.0,57.0
19,2016,JAWA BARAT,3272,KOTA SUKABUMI,79.85,32.14,6535.0,29.0
20,2016,JAWA BARAT,3273,KOTA BANDUNG,82.83,26.99,46628.0,374.0
21,2016,JAWA BARAT,3274,KOTA CIREBON,79.74,33.11,5960.0,43.0
22,2016,JAWA BARAT,3275,KOTA BEKASI,83.92,24.48,55682.0,142.0
23,2016,JAWA BARAT,3276,KOTA DEPOK,83.09,29.39,46096.0,85.0
24,2016,JAWA BARAT,3277,KOTA CIMAHI,82.45,25.64,11875.0,42.0
25,2016,JAWA BARAT,3278,KOTA TASIKMALAYA,79.03,32.66,13097.0,83.0
26,2016,JAWA BARAT,3279,KOTA BANJAR,77.43,33.78,4307.0,1.0
27,2017,JAWA BARAT,3201,KABUPATEN BOGOR,78.0,35.4,127203.0,3120.0
28,2017,JAWA BARAT,3202,KABUPATEN SUKABUMI,77.32,32.29,50252.0,2546.0
29,2017,JAWA BARAT,3203,KABUPATEN CIANJUR,76.14,35.5,46972.0,1808.0
30,2017,JAWA BARAT,3204,KABUPATEN BANDUNG,81.74,27.17,79789.0,611.0
31,2017,JAWA BARAT,3205,KABUPATEN GARUT,78.22,32.05,57424.0,195.0
32,2017,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,74.94,27.16,32844.0,1200.0
33,2017,JAWA BARAT,3207,KABUPATEN CIAMIS,78.57,30.79,19664.0,212.0
34,2017,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.35,33.08,19839.0,299.0
35,2017,JAWA BARAT,3209,KABUPATEN CIREBON,79.22,26.26,40953.0,1853.0
36,2017,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.98,32.92,21403.0,333.0
37,2017,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.0,25.33,20023.0,578.0
38,2017,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78.25,23.82,30418.0,585.0
39,2017,JAWA BARAT,3213,KABUPATEN SUBANG,79.55,27.88,27302.0,504.0
40,2017,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.57,30.69,19831.0,476.0
41,2017,JAWA BARAT,3215,KABUPATEN KARAWANG,79.45,23.61,46060.0,501.0
42,2017,JAWA BARAT,3216,KABUPATEN BEKASI,82.0,18.49,80227.0,294.0
43,2017,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.8,24.35,34933.0,452.0
44,2017,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77.78,49.84,6601.0,69.0
45,2017,JAWA BARAT,3271,KOTA BOGOR,81.55,25.68,21205.0,381.0
46,2017,JAWA BARAT,3272,KOTA SUKABUMI,79.92,29.26,6461.0,115.0
47,2017,JAWA BARAT,3273,KOTA BANDUNG,82.86,33.34,45191.0,224.0
48,2017,JAWA BARAT,3274,KOTA CIREBON,79.78,33.33,5897.0,216.0
49,2017,JAWA BARAT,3275,KOTA BEKASI,84.05,24.04,56143.0,586.0
50,2017,JAWA BARAT,3276,KOTA DEPOK,83.14,27.25,46840.0,389.0
51,2017,JAWA BARAT,3277,KOTA CIMAHI,82.48,25.18,11801.0,193.0
52,2017,JAWA BARAT,3278,KOTA TASIKMALAYA,79.2,31.07,12878.0,463.0
53,2017,JAWA BARAT,3279,KOTA BANJAR,77.52,30.01,3304.0,87.0
54,2018,JAWA BARAT,3201,KABUPATEN BOGOR,78.25,34.28,127781.0,79.0
55,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,77.68,28.26,51182.0,63.0
56,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,76.46,37.62,46972.0,182.0
57,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,81.94,33.85,79612.0,0.0
58,2018,JAWA BARAT,3205,KABUPATEN GARUT,78.51,37.34,61051.0,78.0
59,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,75.32,31.72,32657.0,30.0
60,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,78.95,30.84,23350.0,106.0
61,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.71,40.51,19514.0,0.0
62,2018,JAWA BARAT,3209,KABUPATEN CIREBON,79.48,35.36,50176.0,306.0
63,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,76.43,29.16,21020.0,11.0
64,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.22,30.7,19631.0,51.0
65,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78.63,29.65,29942.0,47.0
66,2018,JAWA BARAT,3213,KABUPATEN SUBANG,79.88,23.31,35848.0,5.0
67,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.86,36.89,19662.0,72.0
68,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,79.71,23.05,45558.0,0.0
69,2018,JAWA BARAT,3216,KABUPATEN BEKASI,82.2,24.68,81869.0,147.0
70,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.05,28.08,34613.0,17.0
71,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,78.22,40.64,6478.0,54.0
72,2018,JAWA BARAT,3271,KOTA BOGOR,81.86,24.31,21113.0,65.0
73,2018,JAWA BARAT,3272,KOTA SUKABUMI,80.17,23.17,6381.0,15.0
74,2018,JAWA BARAT,3273,KOTA BANDUNG,83.08,33.86,44422.0,648.0
75,2018,JAWA BARAT,3274,KOTA CIREBON,79.98,34.61,5834.0,37.0
76,2018,JAWA BARAT,3275,KOTA BEKASI,84.25,26.89,56551.0,209.0
77,2018,JAWA BARAT,3276,KOTA DEPOK,83.34,27.33,47550.0,76.0
78,2018,JAWA BARAT,3277,KOTA CIMAHI,82.69,30.82,11713.0,31.0
79,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,79.54,32.43,13265.0,0.0
80,2018,JAWA BARAT,3279,KOTA BANJAR,77.83,38.6,3238.0,0.0
