,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,persentase_penduduk,jml_ims,jml_balita
0,2020,JAWA BARAT,3201,KABUPATEN BOGOR,78.72,32.64,645.0,21322.0
1,2020,JAWA BARAT,3202,KABUPATEN SUKABUMI,78.42,31.04,9.0,8838.0
2,2020,JAWA BARAT,3203,KABUPATEN CIANJUR,77.12,37.58,645.0,9069.0
3,2020,JAWA BARAT,3204,KABUPATEN BANDUNG,82.35,26.78,988.0,13728.0
4,2020,JAWA BARAT,3205,KABUPATEN GARUT,79.09,35.42,116.0,9128.0
5,2020,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,76.11,34.2,3480.0,9275.0
6,2020,JAWA BARAT,3207,KABUPATEN CIAMIS,79.74,35.63,318.0,4810.0
7,2020,JAWA BARAT,3208,KABUPATEN KUNINGAN,82.45,36.18,774.0,4265.0
8,2020,JAWA BARAT,3209,KABUPATEN CIREBON,79.98,33.96,1720.0,15737.0
9,2020,JAWA BARAT,3210,KABUPATEN MAJALENGKA,77.34,31.05,712.0,4549.0
10,2020,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.66,31.45,167.0,5784.0
11,2020,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79.43,36.97,3884.0,5218.0
12,2020,JAWA BARAT,3213,KABUPATEN SUBANG,80.54,28.42,2082.0,2977.0
13,2020,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78.45,33.06,14.0,2648.0
14,2020,JAWA BARAT,3215,KABUPATEN KARAWANG,80.23,19.21,59.0,4647.0
15,2020,JAWA BARAT,3216,KABUPATEN BEKASI,82.58,28.83,130.0,6723.0
16,2020,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.52,32.23,409.0,6130.0
17,2020,JAWA BARAT,3218,KABUPATEN PANGANDARAN,79.08,50.95,8.0,161.0
18,2020,JAWA BARAT,3271,KOTA BOGOR,82.48,30.49,825.0,2915.0
19,2020,JAWA BARAT,3272,KOTA SUKABUMI,80.65,26.54,53.0,1333.0
20,2020,JAWA BARAT,3273,KOTA BANDUNG,83.51,26.54,2212.0,7910.0
21,2020,JAWA BARAT,3274,KOTA CIREBON,80.4,36.45,313.0,2149.0
22,2020,JAWA BARAT,3275,KOTA BEKASI,84.63,26.12,584.0,8228.0
23,2020,JAWA BARAT,3276,KOTA DEPOK,83.75,24.41,52.0,5948.0
24,2020,JAWA BARAT,3277,KOTA CIMAHI,83.12,23.58,679.0,2491.0
25,2020,JAWA BARAT,3278,KOTA TASIKMALAYA,80.23,28.41,116.0,3738.0
26,2020,JAWA BARAT,3279,KOTA BANJAR,78.45,37.72,0.0,1086.0
27,2021,JAWA BARAT,3201,KABUPATEN BOGOR,79.02,67.5,363.0,16821.0
28,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,78.78,27.75,4.0,6099.0
29,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,77.42,32.15,355.0,5788.0
30,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,82.65,22.18,491.0,8809.0
31,2021,JAWA BARAT,3205,KABUPATEN GARUT,79.37,23.13,84.0,313.0
32,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,76.42,25.91,1082.0,4572.0
33,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,80.03,25.52,224.0,2368.0
34,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,82.74,23.94,489.0,2461.0
35,2021,JAWA BARAT,3209,KABUPATEN CIREBON,80.28,30.8,1366.0,13385.0
36,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,77.63,26.36,825.0,3705.0
37,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.95,22.41,155.0,2382.0
38,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79.75,31.23,2168.0,5586.0
39,2021,JAWA BARAT,3213,KABUPATEN SUBANG,80.89,21.53,1794.0,2736.0
40,2021,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78.74,27.84,0.0,922.0
41,2021,JAWA BARAT,3215,KABUPATEN KARAWANG,80.51,15.12,22.0,2914.0
42,2021,JAWA BARAT,3216,KABUPATEN BEKASI,82.78,38.6,58.0,15485.0
43,2021,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.8,19.7,240.0,5210.0
44,2021,JAWA BARAT,3218,KABUPATEN PANGANDARAN,79.38,37.58,1.0,347.0
45,2021,JAWA BARAT,3271,KOTA BOGOR,82.8,17.79,844.0,2990.0
46,2021,JAWA BARAT,3272,KOTA SUKABUMI,80.89,16.06,36.0,621.0
47,2021,JAWA BARAT,3273,KOTA BANDUNG,83.78,14.27,2081.0,4996.0
48,2021,JAWA BARAT,3274,KOTA CIREBON,80.68,19.29,126.0,2394.0
49,2021,JAWA BARAT,3275,KOTA BEKASI,84.91,25.46,700.0,5662.0
50,2021,JAWA BARAT,3276,KOTA DEPOK,84.03,15.49,54.0,2397.0
51,2021,JAWA BARAT,3277,KOTA CIMAHI,83.4,16.23,509.0,1221.0
52,2021,JAWA BARAT,3278,KOTA TASIKMALAYA,80.52,18.37,45.0,3766.0
53,2021,JAWA BARAT,3279,KOTA BANJAR,78.14,13.71,1.0,603.0
