,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jml_kdrt
0,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,0
1,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1
2,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1
3,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,9
4,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1
5,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,0
6,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,0
7,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,7
8,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,0
9,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,0
10,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,3
11,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,11
12,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,0
13,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,3
14,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,0
15,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,1
16,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2
17,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,13
18,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0
19,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1
20,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,0
21,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,6
22,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0
23,2018,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2
24,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,0
25,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,10
26,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0
27,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0
28,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1
29,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,9
30,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,1
31,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1
