,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jml_kelompok_pendidikan
1,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,TIDAK SEKOLAH,0
2,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SD,0
3,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SLTP,0
4,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SLTA,0
5,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PERGURUAN TINGGI,0
6,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,TK,0
7,2018,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PAUD,0
9,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,TIDAK SEKOLAH,0
10,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SD,0
11,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SLTP,1
12,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SLTA,0
13,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PERGURUAN TINGGI,1
14,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,TK,0
15,2018,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PAUD,0
17,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,TIDAK SEKOLAH,0
18,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SD,3
19,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SLTP,0
20,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SLTA,2
21,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PERGURUAN TINGGI,0
22,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,TK,0
23,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PAUD,0
25,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,TIDAK SEKOLAH,0
26,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SD,12
27,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SLTP,7
28,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SLTA,8
29,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PERGURUAN TINGGI,2
30,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,TK,0
31,2018,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PAUD,0
33,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,TIDAK SEKOLAH,0
34,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SD,3
35,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SLTP,0
36,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SLTA,0
37,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PERGURUAN TINGGI,1
38,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,TK,0
39,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PAUD,0
41,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,TIDAK SEKOLAH,0
42,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SD,0
43,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SLTP,0
44,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SLTA,0
45,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PERGURUAN TINGGI,0
46,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,TK,0
47,2018,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PAUD,0
49,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,TIDAK SEKOLAH,0
50,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SD,3
51,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SLTP,5
52,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SLTA,2
53,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PERGURUAN TINGGI,0
54,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,TK,0
55,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PAUD,0
56,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,TIDAK SEKOLAH,5
57,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SD,17
58,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SLTP,12
59,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SLTA,6
60,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PERGURUAN TINGGI,1
61,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,TK,0
62,2018,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PAUD,0
65,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,TIDAK SEKOLAH,1
66,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SD,0
67,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SLTP,0
68,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SLTA,0
69,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PERGURUAN TINGGI,0
70,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,TK,0
71,2018,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PAUD,0
73,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,TIDAK SEKOLAH,0
74,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SD,2
75,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SLTP,0
76,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SLTA,0
77,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PERGURUAN TINGGI,0
78,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,TK,0
79,2018,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PAUD,0
81,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TIDAK SEKOLAH,2
82,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SD,1
83,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SLTP,0
84,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SLTA,0
85,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PERGURUAN TINGGI,0
86,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TK,0
87,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PAUD,0
89,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TIDAK SEKOLAH,1
90,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SD,1
91,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SLTP,2
92,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SLTA,0
93,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PERGURUAN TINGGI,1
94,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TK,1
95,2018,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PAUD,0
97,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,TIDAK SEKOLAH,0
98,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SD,0
99,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SLTP,0
100,2018,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SLTA,0
