id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bayi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,98,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,186,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,323,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,143,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,63,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,49,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,182,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,44,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,53,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,100,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,281,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,299,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,37,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,88,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,57,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,29,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,374,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,43,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,142,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,85,ORANG,2016
