id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,645,ORANG,2020
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9,ORANG,2020
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,645,ORANG,2020
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,988,ORANG,2020
5,32,JAWA BARAT,3205,KABUPATEN GARUT,116,ORANG,2020
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3480,ORANG,2020
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,318,ORANG,2020
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,774,ORANG,2020
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1720,ORANG,2020
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,712,ORANG,2020
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,167,ORANG,2020
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3884,ORANG,2020
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2082,ORANG,2020
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2020
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,59,ORANG,2020
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,130,ORANG,2020
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,409,ORANG,2020
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,ORANG,2020
19,32,JAWA BARAT,3271,KOTA BOGOR,825,ORANG,2020
20,32,JAWA BARAT,3272,KOTA SUKABUMI,53,ORANG,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,2212,ORANG,2020
22,32,JAWA BARAT,3274,KOTA CIREBON,313,ORANG,2020
23,32,JAWA BARAT,3275,KOTA BEKASI,584,ORANG,2020
24,32,JAWA BARAT,3276,KOTA DEPOK,52,ORANG,2020
25,32,JAWA BARAT,3277,KOTA CIMAHI,679,ORANG,2020
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,116,ORANG,2020
27,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2020
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,363,ORANG,2021
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4,ORANG,2021
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,355,ORANG,2021
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,491,ORANG,2021
32,32,JAWA BARAT,3205,KABUPATEN GARUT,84,ORANG,2021
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1082,ORANG,2021
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,224,ORANG,2021
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,489,ORANG,2021
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1366,ORANG,2021
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,825,ORANG,2021
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,155,ORANG,2021
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2168,ORANG,2021
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1794,ORANG,2021
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2021
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,22,ORANG,2021
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,58,ORANG,2021
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,240,ORANG,2021
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,ORANG,2021
46,32,JAWA BARAT,3271,KOTA BOGOR,844,ORANG,2021
47,32,JAWA BARAT,3272,KOTA SUKABUMI,36,ORANG,2021
48,32,JAWA BARAT,3273,KOTA BANDUNG,2081,ORANG,2021
49,32,JAWA BARAT,3274,KOTA CIREBON,126,ORANG,2021
50,32,JAWA BARAT,3275,KOTA BEKASI,700,ORANG,2021
51,32,JAWA BARAT,3276,KOTA DEPOK,54,ORANG,2021
52,32,JAWA BARAT,3277,KOTA CIMAHI,509,ORANG,2021
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45,ORANG,2021
54,32,JAWA BARAT,3279,KOTA BANJAR,1,ORANG,2021
